row_index,clip_id,group_idx,clip_name,target,prediction,correct,goal_logit,corner_logit,shot_logit
0,0jJj5Mme,1,IM_15,GOAL,GOAL,True,10.95280933380127,3.0770785808563232,7.715482711791992
1,nsbnKlSp,2,IM_7,GOAL,GOAL,True,10.105015754699707,4.908068656921387,8.076390266418457
2,AmNbkU2m,2,IM_4,GOAL,GOAL,True,9.96318531036377,8.527886390686035,9.208126068115234
3,reYzH7wg,1,IM_7,GOAL,GOAL,True,10.017690658569336,9.339788436889648,9.382153511047363
4,OziK3ff0,1,IM_10,GOAL,GOAL,True,9.930214881896973,6.309519290924072,8.558974266052246
5,xx6GTsEM,2,IM_1,GOAL,GOAL,True,10.621830940246582,5.066504955291748,8.089423179626465
6,xx6GTsEM,2,IM_9,GOAL,GOAL,True,9.889290809631348,4.964237689971924,8.782273292541504
7,UBdITpNb,1,IM_7,GOAL,CORNER/THROW-IN,False,8.14779281616211,10.297016143798828,7.793126583099365
8,bZhxz4I5,2,IM_3,GOAL,GOAL,True,11.061805725097656,3.722970485687256,7.21757173538208
9,bBW7eQ6s,1,IM_2,GOAL,GOAL,True,11.22555160522461,1.9497681856155396,7.362415313720703
10,bevos1dM,2,IM_8,GOAL,GOAL,True,9.449394226074219,6.907796859741211,9.019991874694824
11,hK46TwNp,1,IM_12,GOAL,GOAL,True,10.181550979614258,4.443220615386963,10.016432762145996
12,ABcIbvu8,1,IM_4,GOAL,GOAL,True,9.73304271697998,8.405916213989258,8.828816413879395
13,63fde7Re,1,IM_2,GOAL,GOAL,True,9.848871231079102,5.419236660003662,9.04516887664795
14,G6wyC3XE,1,IM_7,GOAL,GOAL,True,10.744468688964844,7.679785251617432,8.992353439331055
15,GEF9XGeE,1,IM_4,GOAL,GOAL,True,9.727757453918457,7.602911949157715,8.962337493896484
16,fN94DUin,2,IM_11,GOAL,GOAL,True,11.147141456604004,6.305439472198486,9.090353012084961
17,63fde7Re,1,IM_6,GOAL,SHOT-ON-TARGET,False,8.150426864624023,7.172784805297852,9.605721473693848
18,4rxwHJn7,2,IM_14,GOAL,GOAL,True,10.241314888000488,8.308484077453613,8.476383209228516
19,Yo4Xirtq,1,IM_6,GOAL,GOAL,True,9.529837608337402,8.090399742126465,6.9523396492004395
20,reYzH7wg,1,IM_10,GOAL,SHOT-ON-TARGET,False,9.141256332397461,7.643223762512207,9.735344886779785
21,0jJj5Mme,2,IM_16,GOAL,GOAL,True,9.993509292602539,4.568894386291504,8.298933982849121
22,l0uNkr78,2,IM_4,GOAL,SHOT-ON-TARGET,False,9.349547386169434,8.291290283203125,10.134565353393555
23,ChTFpiaS,1,IM_1,GOAL,GOAL,True,10.008980751037598,8.587024688720703,8.437578201293945
24,0jJj5Mme,1,IM_10,GOAL,GOAL,True,10.511615753173828,4.355249881744385,10.492815017700195
25,UcZVYDFH,2,IM_5,GOAL,CORNER/THROW-IN,False,8.477649688720703,9.687728881835938,6.356286525726318
26,Yo4Xirtq,2,IM_5,GOAL,CORNER/THROW-IN,False,8.856954574584961,8.917133331298828,6.491156101226807
27,6ZIJp6HI,2,IM_2,GOAL,GOAL,True,9.432249069213867,8.364770889282227,8.652304649353027
28,OziK3ff0,1,IM_1,GOAL,GOAL,True,10.188494682312012,5.263016700744629,8.730652809143066
29,pU7DyBbB,1,IM_3,GOAL,GOAL,True,9.235261917114258,8.879161834716797,8.490490913391113
30,xx6GTsEM,2,IM_13,GOAL,GOAL,True,10.482858657836914,8.95897102355957,9.454083442687988
31,nsbnKlSp,1,IM_2,GOAL,GOAL,True,10.706579208374023,4.362990379333496,8.94481372833252
32,ChTFpiaS,2,IM_11,GOAL,GOAL,True,9.273025512695312,8.24909782409668,8.7686185836792
33,bBW7eQ6s,1,IM_4,GOAL,GOAL,True,10.356985092163086,8.23661994934082,9.184919357299805
34,r9gYBR53,1,IM_2,GOAL,GOAL,True,10.53685474395752,6.550673007965088,8.327313423156738
35,ABcIbvu8,1,IM_1,GOAL,GOAL,True,9.818706512451172,8.289901733398438,7.689131259918213
36,IwW928Oa,2,IM_15,GOAL,GOAL,True,10.510171890258789,6.1918721199035645,9.156567573547363
37,Ov5idmCk,1,IM_5,GOAL,GOAL,True,10.365911483764648,4.193933486938477,9.926939010620117
38,KIMzryr9,2,IM_8,GOAL,SHOT-ON-TARGET,False,8.978876113891602,6.699909687042236,9.8153657913208
39,4rxwHJn7,2,IM_9,GOAL,GOAL,True,9.967236518859863,9.060273170471191,8.491876602172852
40,ABcIbvu8,2,IM_9,GOAL,GOAL,True,10.231454849243164,4.825653076171875,8.421172142028809
41,0jJj5Mme,1,IM_9,GOAL,GOAL,True,10.052913665771484,9.403709411621094,8.493040084838867
42,ABcIbvu8,2,IM_7,GOAL,GOAL,True,10.476523399353027,7.3925065994262695,9.181685447692871
43,xx6GTsEM,1,IM_6,GOAL,GOAL,True,9.158319473266602,8.929879188537598,8.605799674987793
44,r9gYBR53,1,IM_10,GOAL,SHOT-ON-TARGET,False,9.908622741699219,4.008164882659912,9.919044494628906
45,lCaoR3AE,2,IM_13,GOAL,GOAL,True,9.763747215270996,7.403684139251709,7.927206993103027
46,86u5kz2f,2,IM_11,GOAL,GOAL,True,10.916646003723145,7.093621253967285,9.371180534362793
47,xx6GTsEM,1,IM_2,GOAL,SHOT-ON-TARGET,False,9.67972183227539,5.251075267791748,9.869007110595703
48,0jJj5Mme,1,IM_1,GOAL,GOAL,True,9.903141975402832,8.451499938964844,9.313112258911133
49,G6wyC3XE,1,IM_5,GOAL,GOAL,True,9.41154956817627,8.05599308013916,7.517462730407715
50,Q3ZH0ngC,2,IM_6,CORNER/THROW-IN,CORNER/THROW-IN,True,9.29768180847168,9.663030624389648,7.155394554138184
51,E5X6KOII,2,IM_4,CORNER/THROW-IN,GOAL,False,9.967002868652344,9.364731788635254,7.187625408172607
52,ULTDmEW6,2,IM_6,CORNER/THROW-IN,CORNER/THROW-IN,True,8.992932319641113,10.44159984588623,6.8316426277160645
53,G6wyC3XE,2,IM_1,CORNER/THROW-IN,GOAL,False,8.950154304504395,8.191573143005371,7.566795825958252
54,bks0kqIh,2,IM_1,CORNER/THROW-IN,CORNER/THROW-IN,True,8.718439102172852,9.604506492614746,6.371776580810547
55,tE2Jn2J8,2,IM_1,CORNER/THROW-IN,CORNER/THROW-IN,True,8.223621368408203,10.31423282623291,6.446077346801758
56,UcZVYDFH,1,IM_9,CORNER/THROW-IN,CORNER/THROW-IN,True,8.689172744750977,9.806395530700684,5.563866138458252
57,6LXKpLWN,2,IM_1,CORNER/THROW-IN,CORNER/THROW-IN,True,9.574917793273926,10.268110275268555,7.611993789672852
58,8rg3jFcJ,2,IM_3,CORNER/THROW-IN,GOAL,False,9.782095909118652,9.349138259887695,8.616606712341309
59,IF9NUtVr,1,IM_4,CORNER/THROW-IN,CORNER/THROW-IN,True,8.125261306762695,9.089475631713867,6.850840091705322
60,l0uNkr78,2,IM_10,CORNER/THROW-IN,GOAL,False,10.150919914245605,8.985078811645508,8.984971046447754
61,0rkvoaKm,2,IM_16,CORNER/THROW-IN,CORNER/THROW-IN,True,9.109498977661133,9.302310943603516,6.79349422454834
62,06FNvY2s,2,IM_6,CORNER/THROW-IN,CORNER/THROW-IN,True,8.727336883544922,10.013434410095215,5.094083309173584
63,xpER1kZQ,1,IM_5,CORNER/THROW-IN,GOAL,False,9.53673267364502,9.48445987701416,8.016669273376465
64,6w99xiq5,2,IM_3,CORNER/THROW-IN,GOAL,False,9.70698356628418,8.675491333007812,8.912318229675293
65,6w99xiq5,1,IM_2,CORNER/THROW-IN,GOAL,False,10.424281120300293,9.16132640838623,6.903552532196045
66,nsbnKlSp,2,IM_3,CORNER/THROW-IN,GOAL,False,9.396860122680664,7.89901876449585,9.001916885375977
67,p2XBlEqT,2,IM_9,CORNER/THROW-IN,GOAL,False,9.71793270111084,8.17580795288086,8.573265075683594
68,Q3ZH0ngC,2,IM_7,CORNER/THROW-IN,CORNER/THROW-IN,True,8.969751358032227,9.919126510620117,6.493613243103027
69,4rxwHJn7,1,IM_4,CORNER/THROW-IN,CORNER/THROW-IN,True,8.850544929504395,8.960368156433105,6.76158332824707
