pair,row_index,clip_id,group_idx,clip_name,target,prediction,correct,left_label,right_label,left_token,right_token,left_logit,right_logit
goal_vs_corner,0,0jJj5Mme,1,IM_15,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,10.986199378967285,7.6038899421691895
goal_vs_corner,1,nsbnKlSp,2,IM_7,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,10.077393531799316,8.054280281066895
goal_vs_corner,2,AmNbkU2m,2,IM_4,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,9.086482048034668,8.192570686340332
goal_vs_corner,3,reYzH7wg,1,IM_7,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,9.250024795532227,9.166468620300293
goal_vs_corner,4,OziK3ff0,1,IM_10,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,9.80354118347168,7.7888102531433105
goal_vs_corner,5,xx6GTsEM,2,IM_1,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,10.00753116607666,7.989426136016846
goal_vs_corner,6,xx6GTsEM,2,IM_9,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,8.953591346740723,7.626881122589111
goal_vs_corner,7,UBdITpNb,1,IM_7,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,7.850636959075928,10.447237968444824
goal_vs_corner,8,bZhxz4I5,2,IM_3,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,10.95462703704834,7.779505252838135
goal_vs_corner,9,bBW7eQ6s,1,IM_2,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,11.334856033325195,6.483875751495361
goal_vs_corner,10,bevos1dM,2,IM_8,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,9.218327522277832,8.000275611877441
goal_vs_corner,11,hK46TwNp,1,IM_12,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,10.445350646972656,8.188745498657227
goal_vs_corner,12,ABcIbvu8,1,IM_4,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,9.634779930114746,9.16494369506836
goal_vs_corner,13,63fde7Re,1,IM_2,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,9.512020111083984,8.317815780639648
goal_vs_corner,14,G6wyC3XE,1,IM_7,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,10.463663101196289,8.87476634979248
goal_vs_corner,15,GEF9XGeE,1,IM_4,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,9.618833541870117,9.047921180725098
goal_vs_corner,16,fN94DUin,2,IM_11,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,10.616141319274902,7.929669380187988
goal_vs_corner,17,63fde7Re,1,IM_6,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,8.805290222167969,8.609264373779297
goal_vs_corner,18,4rxwHJn7,2,IM_14,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,10.416565895080566,9.040271759033203
goal_vs_corner,19,Yo4Xirtq,1,IM_6,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,9.173842430114746,8.775715827941895
goal_vs_corner,20,reYzH7wg,1,IM_10,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,9.668594360351562,8.862187385559082
goal_vs_corner,21,0jJj5Mme,2,IM_16,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,9.50631332397461,7.612189769744873
goal_vs_corner,22,l0uNkr78,2,IM_4,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,9.93989086151123,8.786555290222168
goal_vs_corner,23,ChTFpiaS,1,IM_1,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,9.937470436096191,8.705178260803223
goal_vs_corner,24,0jJj5Mme,1,IM_10,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,11.096646308898926,8.578573226928711
goal_vs_corner,25,UcZVYDFH,2,IM_5,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,7.905429840087891,9.54713249206543
goal_vs_corner,26,Yo4Xirtq,2,IM_5,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,8.30284595489502,9.042227745056152
